(3227, 256, 5) (3227, 1)
Training Shape: (2879, 256, 5) (2879, 1)
Valid Shape: (348, 256, 5) (348, 1)
(2078, 256, 5) (2078, 1)
Training Shape: (1845, 256, 5) (1845, 1)
Valid Shape: (233, 256, 5) (233, 1)
E120: T:0.00243825139477849 V:0.020716669037938118
E121: T:0.0023644694592803717 V:0.022683383896946907
E122: T:0.002063673920929432 V:0.028164926916360855
E123: T:0.0016877608140930533 V:0.01589823327958584
E124: T:0.0016672828933224082 V:0.029118280857801437
E125: T:0.0014364824164658785 V:0.026601502671837807
E126: T:0.0012357985833659768 V:0.025871388614177704
E127: T:0.00165310048032552 V:0.01736522652208805
E128: T:0.0013914863811805844 V:0.021004853770136833
E129: T:0.001041869050823152 V:0.024418987333774567
E130: T:0.0011427918216213584 V:0.023737646639347076
E131: T:0.0010664343135431409 V:0.0301491841673851
E132: T:0.0010963940294459462 V:0.025835897773504257
E133: T:0.0009838304249569774 V:0.017268802970647812
E134: T:0.001037771813571453 V:0.019032444804906845
E135: T:0.0010315257823094726 V:0.01865934021770954
E136: T:0.0010956797050312161 V:0.012024027295410633
E137: T:0.0010258828988298774 V:0.02252594381570816
E138: T:0.0009439783170819283 V:0.021207444369792938
E139: T:0.001591794192790985 V:0.019095949828624725
E140: T:0.0018458202248439193 V:0.026733553037047386
E141: T:0.0016187140718102455 V:0.019283266738057137
E142: T:0.001229695975780487 V:0.02520708739757538
E143: T:0.0011080278782173991 V:0.024483034387230873
E144: T:0.0011678396258503199 V:0.019194670021533966
E145: T:0.0009613632573746145 V:0.015858136117458344
E146: T:0.0011774769518524408 V:0.015014403499662876
E147: T:0.000859773950651288 V:0.021236542612314224
E148: T:0.0010113583412021399 V:0.022529970854520798
E149: T:0.001100988476537168 V:0.022165756672620773
E150: T:0.0010494481539353728 V:0.01261694822460413
E151: T:0.0008820034563541412 V:0.02577824890613556
E152: T:0.0009209946729242802 V:0.02143259532749653
E153: T:0.0008783311350271106 V:0.021040942519903183
E154: T:0.001020994270220399 V:0.015017181634902954
E155: T:0.0007643349817954004 V:0.015618151985108852
E156: T:0.0010020100744441152 V:0.018356647342443466
E157: T:0.0010441250633448362 V:0.014334465377032757
E158: T:0.0008413021569140255 V:0.019229009747505188
E159: T:0.0010113980388268828 V:0.01300781313329935
E160: T:0.0009525914792902768 V:0.01521745603531599
E161: T:0.00084637850522995 V:0.017964081838726997
E162: T:0.0009504094487056136 V:0.015605749562382698
E163: T:0.0008973342482931912 V:0.016858380287885666
E164: T:0.0008568770135752857 V:0.010638631880283356
E165: T:0.0008314987062476575 V:0.011282745748758316
E166: T:0.0009008646011352539 V:0.02208981104195118
E167: T:0.0008742626523599029 V:0.014359419234097004
E168: T:0.0009043138124980032 V:0.013526134192943573
E169: T:0.0014838295755907893 V:0.017291637137532234
E170: T:0.0010546984849497676 V:0.013332313857972622
E171: T:0.000919946760404855 V:0.012363488785922527
E172: T:0.0008855838095769286 V:0.011046185158193111
E173: T:0.0009291384485550225 V:0.010895268060266972
E174: T:0.0011197301791980863 V:0.010113540105521679
E175: T:0.000838175998069346 V:0.016857074573636055
E176: T:0.0007679331465624273 V:0.011181696318089962
E177: T:0.0007416308508254588 V:0.01372534316033125
E178: T:0.0007961114170029759 V:0.012923906557261944
E179: T:0.0007232493371702731 V:0.012917494401335716
E180: T:0.0008543118601664901 V:0.012141476385295391
E181: T:0.0009570475667715073 V:0.011015184223651886
E182: T:0.0008048932650126517 V:0.021275168284773827
E183: T:0.0012281773379072547 V:0.009798443876206875
E184: T:0.0008009455050341785 V:0.019212156534194946
E185: T:0.0008446575375273824 V:0.009904814884066582
E186: T:0.0008577202097512782 V:0.013874491676688194
E187: T:0.0010202332632616162 V:0.009836229495704174
E188: T:0.0007842459017410874 V:0.015165216289460659
E189: T:0.0006729371380060911 V:0.01375088095664978
E190: T:0.000771554943639785 V:0.02501785010099411
E191: T:0.0008497102535329759 V:0.0210244283080101
E192: T:0.0007319208234548569 V:0.015625057741999626
E193: T:0.0008298459579236805 V:0.013890300877392292
E194: T:0.0007799710729159415 V:0.011607889086008072
E195: T:0.0010527718113735318 V:0.015839561820030212
E196: T:0.0009452078375034034 V:0.016808394342660904
E197: T:0.0008002069662325084 V:0.02802998200058937
E198: T:0.0008326072129420936 V:0.014591528102755547
E199: T:0.0008862487738952041 V:0.012166894041001797
E200: T:0.0007872439455240965 V:0.01118592917919159
E201: T:0.0007733133970759809 V:0.01539683062583208
E202: T:0.0008840880473144352 V:0.013462935574352741
E203: T:0.0006725568091496825 V:0.014730599708855152
E204: T:0.0008118786499835551 V:0.018870119005441666
E205: T:0.0008351842407137156 V:0.018513118848204613
E206: T:0.0008718311437405646 V:0.013365525752305984
E207: T:0.000751790008507669 V:0.0244272593408823
E208: T:0.0009147236123681068 V:0.01944122277200222
E209: T:0.0006680848891846836 V:0.013632494956254959
E210: T:0.0007073158631101251 V:0.023975137621164322
E211: T:0.0007546356064267457 V:0.00994786899536848
E212: T:0.0007414474966935813 V:0.01434632483869791
E213: T:0.0008389433496631682 V:0.015179132111370564
E214: T:0.0007842708146199584 V:0.022106142714619637
E215: T:0.0007231527124531567 V:0.01222750823944807
E216: T:0.0007900433265604079 V:0.011495263315737247
E217: T:0.000784123782068491 V:0.022301459684967995
E218: T:0.0008962373249232769 V:0.011487063951790333
E219: T:0.0007677688845433295 V:0.01042206585407257
E220: T:0.0008592291851527989 V:0.013473455794155598
E221: T:0.0006621743086725473 V:0.01467191707342863
E222: T:0.0006828659679740667 V:0.019097119569778442
E223: T:0.00068419094895944 V:0.01529714185744524
E224: T:0.0007778707658872008 V:0.016768014058470726
E225: T:0.0006835070089437068 V:0.015584928914904594
E226: T:0.0006970100803300738 V:0.015218058601021767
E227: T:0.0006905229529365897 V:0.014639035798609257
E228: T:0.0007511919247917831 V:0.020090507343411446
E229: T:0.0007932541193440557 V:0.014332839287817478
E230: T:0.0006749141030013561 V:0.018955586478114128
E231: T:0.0007126001291908324 V:0.014301971532404423
E232: T:0.0006655390607193112 V:0.013582014478743076
E233: T:0.0007219835533760488 V:0.020341506227850914
E234: T:0.0006795651279389858 V:0.01414570678025484
E235: T:0.0007300795987248421 V:0.014948624186217785
E236: T:0.0006554459105245769 V:0.019611148163676262
E237: T:0.0006376488017849624 V:0.017047839239239693
E238: T:0.000658004661090672 V:0.01613977551460266
E239: T:0.00062654196517542 V:0.019782327115535736
E240: T:0.005202246364206076 V:0.00910324975848198
E241: T:0.0027034557424485683 V:0.008968453854322433
E242: T:0.00248449738137424 V:0.00965917482972145
E243: T:0.0024592627305537462 V:0.008279860019683838
E244: T:0.0023109756875783205 V:0.010481760837137699
E245: T:0.002336635487154126 V:0.012944512069225311
E246: T:0.0023002910893410444 V:0.012958388775587082
E247: T:0.0022329427301883698 V:0.009723012335598469
E248: T:0.002303964924067259 V:0.009505553171038628
E249: T:0.002311653457581997 V:0.010046688839793205
E250: T:0.002191736828535795 V:0.012677367776632309
E251: T:0.0022562912199646235 V:0.010829719714820385
E252: T:0.002299981191754341 V:0.011268801987171173
E253: T:0.0021970958914607763 V:0.010746350511908531
E254: T:0.002197129186242819 V:0.009222851134836674
E255: T:0.0021436449605971575 V:0.012756693176925182
E256: T:0.0021737846545875072 V:0.011654000729322433
E257: T:0.0022577939089387655 V:0.00935559906065464
E258: T:0.0021989368833601475 V:0.01739448495209217
E259: T:0.002166793216019869 V:0.009906857274472713
E260: T:0.00224989652633667 V:0.011572414077818394
E261: T:0.002177662681788206 V:0.01035087089985609
E262: T:0.002188618527725339 V:0.010847833938896656
E263: T:0.0022300705313682556 V:0.009647432714700699
E264: T:0.0022392922546714544 V:0.020044023171067238
E265: T:0.0022522746585309505 V:0.010655434802174568
E266: T:0.0018846436869353056 V:0.009340825490653515
E267: T:0.0009547474328428507 V:0.008118370547890663
E268: T:0.0008220733725465834 V:0.015598785132169724
E269: T:0.001036033034324646 V:0.017779575660824776
E270: T:0.0008517525275237858 V:0.008249194361269474
E271: T:0.0030895941890776157 V:0.012031243182718754
E272: T:0.00239715538918972 V:0.016905328258872032
E273: T:0.0022722010035067797 V:0.010312521830201149
E274: T:0.0015615660231560469 V:0.011478767730295658
E275: T:0.0009678821661509573 V:0.009487925097346306
E276: T:0.0009097816655412316 V:0.01021041814237833
E277: T:0.0009252552990801632 V:0.0108869019895792
E278: T:0.0007922201766632497 V:0.013603419065475464
E279: T:0.0007295602117665112 V:0.012216530740261078
E280: T:0.0007566225831396878 V:0.011423749849200249
E281: T:0.0009966647485271096 V:0.010076699778437614
E282: T:0.0009533640113659203 V:0.008525781333446503
E283: T:0.0007036231108941138 V:0.010084390640258789
E284: T:0.0006909911171533167 V:0.013889243826270103
E285: T:0.0007241929415613413 V:0.011705377139151096
E286: T:0.0007530839066021144 V:0.012294086627662182
E287: T:0.0007071154541336 V:0.011585327796638012
E288: T:0.0006644269451498985 V:0.010137754492461681
E289: T:0.0006757600349374115 V:0.01343398168683052
