Training Shape: (1973, 256, 5) (1973, 1)
Valid Shape: (581, 256, 5) (581, 1)
Training Shape: (1238, 256, 5) (1238, 1)
Valid Shape: (305, 256, 5) (305, 1)
E135: T:0.00026369860279373825 V:0.05123939737677574
E136: T:0.00023359352780971676 V:0.07262857258319855
E137: T:0.00024489505449309945 V:0.06454417109489441
E138: T:0.00024296973424497992 V:0.12866899371147156
E139: T:0.00023873415193520486 V:0.1256369948387146
E140: T:0.0002372655289946124 V:0.12438192218542099
E141: T:0.00024420933914370835 V:0.12571687996387482
E142: T:0.0002356912737013772 V:0.115899458527565
E143: T:0.0002134924870915711 V:0.10969322919845581
E144: T:0.00026399962371215224 V:0.09208054840564728
E145: T:0.00020964369468856603 V:0.11421254277229309
E146: T:0.00021745232515968382 V:0.1409589797258377
E147: T:0.0002371712907915935 V:0.14545077085494995
E148: T:0.00020955014042556286 V:0.1288740038871765
E149: T:0.00020891499298159033 V:0.09456887096166611
E150: T:0.0002186289057135582 V:0.12720061838626862
E151: T:0.0002115595416398719 V:0.14847342669963837
E152: T:0.000258040294284001 V:0.10264576971530914
E153: T:0.00021843348804395646 V:0.12011975049972534
E154: T:0.00027660041814669967 V:0.15815241634845734
E155: T:0.0002154162502847612 V:0.154816672205925
E156: T:0.0002049076574621722 V:0.10369788110256195
E157: T:0.00021943595493212342 V:0.0979844480752945
E158: T:0.00021905706671532243 V:0.1369449347257614
E159: T:0.00021638900216203183 V:0.11138665676116943
E160: T:0.00022777673439122736 V:0.1478327363729477
E161: T:0.00020880399097222835 V:0.09434410184621811
E162: T:0.00019775987311732024 V:0.11928095668554306
E163: T:0.00021337713405955583 V:0.07899333536624908
E164: T:0.00020000420045107603 V:0.1510906219482422
E165: T:0.0002237549051642418 V:0.1801975816488266
E166: T:0.0002532822545617819 V:0.1126367598772049
E167: T:0.0002239068562630564 V:0.10042163729667664
E168: T:0.00019001745386049151 V:0.1282508373260498
E169: T:0.0002237779990537092 V:0.14301162958145142
E170: T:0.00018731175805442035 V:0.13933026790618896
E171: T:0.00019107467960566282 V:0.1329772025346756
E172: T:0.00020204165775794536 V:0.1592414826154709
E173: T:0.00022716425883118063 V:0.11757556349039078
E174: T:0.0002582468732725829 V:0.18869860470294952
E175: T:0.00019091085414402187 V:0.11954996734857559
E176: T:0.000190664068213664 V:0.10910368710756302
E177: T:0.00018529001681599766 V:0.14240053296089172
E178: T:0.0001893011649372056 V:0.1424437314271927
E179: T:0.00027802950353361666 V:0.12533602118492126
E180: T:0.0002459231182001531 V:0.16039736568927765
E181: T:0.00018083926988765597 V:0.14117491245269775
E182: T:0.00017677074356470257 V:0.14565911889076233
E183: T:0.00016842236800584942 V:0.13344961404800415
E184: T:0.0001929843710968271 V:0.11987529695034027
E185: T:0.00021398057288024575 V:0.12290424853563309
E186: T:0.00018372118938714266 V:0.11930713802576065
E187: T:0.00018387907766737044 V:0.12469784915447235
E188: T:0.00022305737365968525 V:0.10206463187932968
E189: T:0.0001940279034897685 V:0.13506321609020233
E190: T:0.00018388040189165622 V:0.10239424556493759
E191: T:0.00018739516963250935 V:0.14743392169475555
